il,ilce,subeVar
İzmir,Aliağa,true
İzmir,Balçova,true
İzmir,Bayındır,false
İzmir,Bayraklı,true
İzmir,Bergama,true
İzmir,Beydağ,false
İzmir,Bornova,true
İzmir,Buca,true
İzmir,Çeşme,true
İzmir,Çiğli,true
İzmir,Dikili,true
İzmir,Foça,false
İzmir,Gaziemir,true
İzmir,Güzelbahçe,true
İzmir,Karabağlar,true
İzmir,Karaburun,false
İzmir,Karşıyaka,true
İzmir,Kemalpaşa,true
İzmir,Kınık,false
İzmir,Kiraz,false
İzmir,Konak,true
İzmir,Menderes,true
İzmir,Menemen,true
İzmir,Narlıdere,true
İzmir,Ödemiş,true
İzmir,Seferihisar,true
İzmir,Selçuk,true
İzmir,Tire,true
İzmir,Torbalı,true
İzmir,Urla,true
